DATE,BSCICP03USM665S_NBD19600101
1960-01-01,100.00000
1960-02-01,99.25722
1960-03-01,98.29266
1960-04-01,97.53680
1960-05-01,97.13006
1960-06-01,97.12530
1960-07-01,97.29686
1960-08-01,97.54378
1960-09-01,97.56332
1960-10-01,97.46725
1960-11-01,97.27541
1960-12-01,97.14455
1961-01-01,97.18387
1961-02-01,97.58588
1961-03-01,98.49859
1961-04-01,99.55699
1961-05-01,100.18787
1961-06-01,100.43290
1961-07-01,100.60547
1961-08-01,100.86862
1961-09-01,101.08456
1961-10-01,101.10495
1961-11-01,101.06404
1961-12-01,101.18122
1962-01-01,101.09356
1962-02-01,100.88972
1962-03-01,100.46710
1962-04-01,99.77994
1962-05-01,99.15135
1962-06-01,98.74291
1962-07-01,98.54144
1962-08-01,98.45751
1962-09-01,98.57116
1962-10-01,98.88383
1962-11-01,99.31536
1962-12-01,99.65699
1963-01-01,99.71527
1963-02-01,99.72311
1963-03-01,99.83874
1963-04-01,100.11576
1963-05-01,100.29896
1963-06-01,100.18925
1963-07-01,99.94737
1963-08-01,99.84950
1963-09-01,99.93147
1963-10-01,99.99808
1963-11-01,99.93955
1963-12-01,99.84202
1964-01-01,100.00180
1964-02-01,100.24816
1964-03-01,100.46973
1964-04-01,100.54527
1964-05-01,100.63117
1964-06-01,100.86455
1964-07-01,101.16671
1964-08-01,101.31965
1964-09-01,101.28366
1964-10-01,101.13298
1964-11-01,101.09173
1964-12-01,101.10908
1965-01-01,101.14402
1965-02-01,101.28083
1965-03-01,101.38420
1965-04-01,101.20591
1965-05-01,100.90130
1965-06-01,100.56560
1965-07-01,100.38360
1965-08-01,100.38982
1965-09-01,100.51772
1965-10-01,100.59348
1965-11-01,100.84999
1965-12-01,101.31989
1966-01-01,101.75613
1966-02-01,101.91461
1966-03-01,101.78210
1966-04-01,101.35125
1966-05-01,100.79745
1966-06-01,100.57764
1966-07-01,100.54524
1966-08-01,100.45784
1966-09-01,100.29727
1966-10-01,99.95856
1966-11-01,99.45487
1966-12-01,98.92407
1967-01-01,98.35775
1967-02-01,97.84426
1967-03-01,97.40453
1967-04-01,97.17360
1967-05-01,97.33116
1967-06-01,97.77915
1967-07-01,98.36050
1967-08-01,98.92021
1967-09-01,99.32173
1967-10-01,99.48480
1967-11-01,99.58166
1967-12-01,99.69686
1968-01-01,99.75252
1968-02-01,99.70309
1968-03-01,99.70096
1968-04-01,99.79181
1968-05-01,99.65104
1968-06-01,99.42266
1968-07-01,99.26235
1968-08-01,99.16746
1968-09-01,99.27012
1968-10-01,99.62220
1968-11-01,99.89348
1968-12-01,99.90494
1969-01-01,99.86662
1969-02-01,99.92343
1969-03-01,99.92788
1969-04-01,99.84809
1969-05-01,99.78547
1969-06-01,99.63396
1969-07-01,99.47465
1969-08-01,99.46169
1969-09-01,99.45033
1969-10-01,99.38621
1969-11-01,99.16176
1969-12-01,98.79101
1970-01-01,98.32411
1970-02-01,97.95249
1970-03-01,97.74531
1970-04-01,97.73326
1970-05-01,98.00513
1970-06-01,98.29925
1970-07-01,98.21860
1970-08-01,97.79998
1970-09-01,97.24050
1970-10-01,96.82920
1970-11-01,96.79821
1970-12-01,97.35776
1971-01-01,98.12951
1971-02-01,98.84872
1971-03-01,99.14586
1971-04-01,99.35477
1971-05-01,99.41862
1971-06-01,99.41149
1971-07-01,99.40808
1971-08-01,99.40231
1971-09-01,99.44356
1971-10-01,99.46535
1971-11-01,99.57609
1971-12-01,100.01519
1972-01-01,100.44468
1972-02-01,100.68323
1972-03-01,100.71939
1972-04-01,100.69442
1972-05-01,100.68898
1972-06-01,100.63749
1972-07-01,100.79836
1972-08-01,101.18575
1972-09-01,101.74068
1972-10-01,102.29780
