DATE,CPALTT01USM657N_NBD19600201
1960-01-01,-99.65986
1960-02-01,100.00000
1960-03-01,0.00000
1960-04-01,99.65986
1960-05-01,0.00000
1960-06-01,99.32203
1960-07-01,0.00000
1960-08-01,0.00000
1960-09-01,0.00000
1960-10-01,197.97297
1960-11-01,0.00000
1960-12-01,0.00000
1961-01-01,0.00000
1961-02-01,0.00000
1961-03-01,0.00000
1961-04-01,0.00000
1961-05-01,0.00000
1961-06-01,0.00000
1961-07-01,196.64430
1961-08-01,-97.66667
1961-09-01,97.99331
1961-10-01,0.00000
1961-11-01,0.00000
1961-12-01,0.00000
1962-01-01,0.00000
1962-02-01,97.66667
1962-03-01,0.00000
1962-04-01,97.34219
1962-05-01,0.00000
1962-06-01,0.00000
1962-07-01,97.01987
1962-08-01,0.00000
1962-09-01,96.69967
1962-10-01,0.00000
1962-11-01,0.00000
1962-12-01,0.00000
1963-01-01,0.00000
1963-02-01,0.00000
1963-03-01,96.38158
1963-04-01,0.00000
1963-05-01,0.00000
1963-06-01,96.06557
1963-07-01,95.75163
1963-08-01,0.00000
1963-09-01,0.00000
1963-10-01,95.43974
1963-11-01,0.00000
1963-12-01,95.12987
1964-01-01,0.00000
1964-02-01,0.00000
1964-03-01,0.00000
1964-04-01,0.00000
1964-05-01,0.00000
1964-06-01,94.82201
1964-07-01,94.51613
1964-08-01,-94.21222
1964-09-01,94.51613
1964-10-01,0.00000
1964-11-01,94.21222
1964-12-01,0.00000
1965-01-01,0.00000
1965-02-01,0.00000
1965-03-01,93.91026
1965-04-01,93.61022
1965-05-01,0.00000
1965-06-01,186.62420
1965-07-01,0.00000
1965-08-01,0.00000
1965-09-01,0.00000
1965-10-01,92.72152
1965-11-01,0.00000
1965-12-01,92.42902
1966-01-01,0.00000
1966-02-01,184.27673
1966-03-01,91.56250
1966-04-01,182.55452
1966-05-01,0.00000
1966-06-01,90.71207
1966-07-01,90.43210
1966-08-01,180.30769
1966-09-01,0.00000
1966-10-01,179.20489
1966-11-01,0.00000
1966-12-01,0.00000
1967-01-01,0.00000
1967-02-01,0.00000
1967-03-01,89.05775
1967-04-01,88.78788
1967-05-01,88.51964
1967-06-01,88.25301
1967-07-01,87.98799
1967-08-01,87.72455
1967-09-01,87.46269
1967-10-01,87.20238
1967-11-01,86.94362
1967-12-01,86.68639
1968-01-01,172.86136
1968-02-01,85.92375
1968-03-01,85.67251
1968-04-01,85.42274
1968-05-01,85.17442
1968-06-01,169.85507
1968-07-01,168.87608
1968-08-01,83.95415
1968-09-01,83.71429
1968-10-01,166.95157
1968-11-01,83.00283
1968-12-01,82.76836
1969-01-01,82.53521
1969-02-01,164.60674
1969-03-01,245.53073
1969-04-01,162.32687
1969-05-01,80.71625
1969-06-01,160.98901
1969-07-01,160.10929
1969-08-01,159.23913
1969-09-01,79.18919
1969-10-01,157.95148
1969-11-01,157.10456
1969-12-01,156.26667
1970-01-01,77.71883
1970-02-01,155.02646
1970-03-01,154.21053
1970-04-01,230.10471
1970-05-01,76.10390
1970-06-01,151.81347
1970-07-01,151.03093
1970-08-01,0.00000
1970-09-01,150.25641
1970-10-01,149.48980
1970-11-01,148.73096
1970-12-01,147.97980
1971-01-01,0.00000
1971-02-01,73.61809
1971-03-01,73.43358
1971-04-01,73.25000
1971-05-01,146.13466
1971-06-01,218.11414
1971-07-01,72.16749
1971-08-01,71.99017
1971-09-01,0.00000
1971-10-01,71.81373
1971-11-01,0.00000
1971-12-01,143.27628
1972-01-01,0.00000
1972-02-01,142.57908
1972-03-01,70.94431
1972-04-01,70.77295
1972-05-01,70.60241
1972-06-01,70.43269
1972-07-01,140.52758
1972-08-01,69.92840
1972-09-01,69.76190
1972-10-01,139.19240
1972-11-01,69.26714
1972-12-01,69.10377
1973-01-01,68.94118
1973-02-01,206.33803
1973-03-01,273.19347
1973-04-01,203.00231
1973-05-01,201.60550
1973-06-01,200.22779
1973-07-01,66.28959
1973-08-01,529.11964
1973-09-01,64.96674
1973-10-01,259.29204
1973-11-01,192.76316
1973-12-01,191.50327
1974-01-01,253.67965
1974-02-01,377.25322
1974-03-01,372.45763
1974-04-01,122.59414
1974-05-01,366.25000
1974-06-01,241.15226
1974-07-01,239.18367
1974-08-01,355.87045
1974-09-01,351.60000
1974-10-01,289.52569
1974-11-01,229.35421
1974-12-01,227.57282
1975-01-01,112.90944
1975-02-01,224.95202
1975-03-01,111.61905
1975-04-01,111.19545
1975-05-01,166.16257
1975-06-01,220.30075
